constr	definition	examples	positive_predicted	negative_predicted	true_positives	false_positives	false_negatives	true_negatives	precision	recall	f1	accuracy
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	"['"" Wo ein Wille ist , ist auch ein Deal .']"	"['"" Wo ein Wille ist , ist auch ein Deal .']"	[]	[]	"['"" Wo ein Wille ist , ist auch ein Deal .']"	[]	[]	0,0	1,0	0,0	0,0
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	[]	[]	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	[]	[]	0,0	1,0	0,0	0,0
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	['Das Verlangen nach ihr ist plausibel , denn Soja ist das Multitalent unter den Nutzpflanzen .']	['Das Verlangen nach ihr ist plausibel , denn Soja ist das Multitalent unter den Nutzpflanzen .']	[]	[]	['Das Verlangen nach ihr ist plausibel , denn Soja ist das Multitalent unter den Nutzpflanzen .']	[]	[]	0,0	1,0	0,0	0,0
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Beim Kochen ist es wie in jedem Handwerk :']	['Beim Kochen ist es wie in jedem Handwerk :']	[]	[]	['Beim Kochen ist es wie in jedem Handwerk :']	[]	[]	0,0	1,0	0,0	0,0
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Wer daraus schließt , die Ungleichheit sei heute so hoch wie vor 100 Jahren , blendet aber zwei relevante Fakten aus .']	['Wer daraus schließt , die Ungleichheit sei heute so hoch wie vor 100 Jahren , blendet aber zwei relevante Fakten aus .']	[]	[]	['Wer daraus schließt , die Ungleichheit sei heute so hoch wie vor 100 Jahren , blendet aber zwei relevante Fakten aus .']	[]	[]	0,0	1,0	0,0	0,0
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	[]	[]	['Spricht man mit ihm über Igor Setschin und Rosneft , dann wägt er seine Worte vorsichtig , aber sie klingen unversöhnlich scharf wie die Worte eines Mannes , der noch eine Rechnung offen hat .']	[]	[]	0,0	1,0	0,0	0,0
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	['Die Zusammenarbeit mit Zadek war wie eine große Reise : mit allen Aufs und Abs , nicht gemütlich sondern aufregend – man brauchte sehr viel Mut .']	['Die Zusammenarbeit mit Zadek war wie eine große Reise : mit allen Aufs und Abs , nicht gemütlich sondern aufregend – man brauchte sehr viel Mut .']	[]	[]	['Die Zusammenarbeit mit Zadek war wie eine große Reise : mit allen Aufs und Abs , nicht gemütlich sondern aufregend – man brauchte sehr viel Mut .']	[]	[]	0,0	1,0	0,0	0,0
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	"['"" Oh , Strafe , Strafe ohnegleichen "" "" "" "" – und Fladenbrot ? ""']"	"['"" Oh , Strafe , Strafe ohnegleichen "" "" "" "" – und Fladenbrot ? ""']"	[]	[]	"['"" Oh , Strafe , Strafe ohnegleichen "" "" "" "" – und Fladenbrot ? ""']"	[]	[]	0,0	1,0	0,0	0,0
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	['Caren Miosga ist die neue Anne Will ;']	['Caren Miosga ist die neue Anne Will ;']	[]	[]	['Caren Miosga ist die neue Anne Will ;']	[]	[]	0,0	1,0	0,0	0,0
1006	"Die ""Superlativ:PRÄP_ADJ-ster_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt durch den Vergleich einer Entität mit einer impliziten Gesamtheit. Die ""Präposition"" steht stets vor der meist als Adjektiv realisierten ""Dimension"", an die das konstruktionsevozierende Element (KEE) ""(e)st"" angehangen wird. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Neben der ""Präposition"", dem ""KEE"" und der ""Dimension"" besteht die Konstruktion aus zwei weiteren Kern-Konstruktionselementen (Kern-KE): dem ""Verglichenen"" (die Entität, der eine durch die ""Dimension"" ausgedrückte Eigenschaft in vollem Ausmaß zugewiesen wird) und der ""Vergleichsmenge"" (die stets implizite Menge an Entitäten, die über die selbe Eigenschaft in geringerem Ausmaß verfügen)."	['Unsere Personalkosten waren teurer als die unserer Mitbewerber .']	['Unsere Personalkosten waren teurer als die unserer Mitbewerber .']	[]	[]	['Unsere Personalkosten waren teurer als die unserer Mitbewerber .']	[]	[]	0,0	1,0	0,0	0,0
