constr	definition	examples	positive_predicted	negative_predicted	true_positives	false_positives	false_negatives	true_negatives	precision	recall	f1	accuracy
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	['Die Beschäftigung mit dem Kontinent sei einfach zu deprimierend , er sehe sich nicht in der Lage , die Krise des Kontinents zu erklären , geschweige denn Lösungswege vorzuschlagen .', 'Es sei schwer verständlich , wie Finanzmarkthändler bei AIG überhaupt Sonderzahlungen verdient haben könnten , geschweige denn von 165 Millionen Dollar .', 'Keine Spur einer Entrüstung , geschweige denn die Nachfrage , wie es Schulze nun gehe .']	['Es sei schwer verständlich , wie Finanzmarkthändler bei AIG überhaupt Sonderzahlungen verdient haben könnten , geschweige denn von 165 Millionen Dollar .', 'Die Beschäftigung mit dem Kontinent sei einfach zu deprimierend , er sehe sich nicht in der Lage , die Krise des Kontinents zu erklären , geschweige denn Lösungswege vorzuschlagen .', 'Keine Spur einer Entrüstung , geschweige denn die Nachfrage , wie es Schulze nun gehe .']	[]	['Es sei schwer verständlich , wie Finanzmarkthändler bei AIG überhaupt Sonderzahlungen verdient haben könnten , geschweige denn von 165 Millionen Dollar .', 'Die Beschäftigung mit dem Kontinent sei einfach zu deprimierend , er sehe sich nicht in der Lage , die Krise des Kontinents zu erklären , geschweige denn Lösungswege vorzuschlagen .', 'Keine Spur einer Entrüstung , geschweige denn die Nachfrage , wie es Schulze nun gehe .']	[]	[]	[]	1,0	1,0	1,0	1,0
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	['Die Geschichte zeigt , dass die Nieder- und Querschläge eines Jumbobankrotts nicht voraussehbar sind – geschweige denn kontrollierbar .', 'Solange kein Polizist daneben steht , ist das Band kein Hindernis , geschweige denn eine Mauer .', 'Solange zwischen den beiden Palästinenser-Gebilden latenter Bürgerkrieg herrscht , ist ein Zweistaaten-Model selbst in der Logik nicht auf der Agenda , geschweige denn in der Praxis .']	['Solange kein Polizist daneben steht , ist das Band kein Hindernis , geschweige denn eine Mauer .', 'Die Geschichte zeigt , dass die Nieder- und Querschläge eines Jumbobankrotts nicht voraussehbar sind – geschweige denn kontrollierbar .', 'Solange zwischen den beiden Palästinenser-Gebilden latenter Bürgerkrieg herrscht , ist ein Zweistaaten-Model selbst in der Logik nicht auf der Agenda , geschweige denn in der Praxis .']	[]	['Solange kein Polizist daneben steht , ist das Band kein Hindernis , geschweige denn eine Mauer .', 'Die Geschichte zeigt , dass die Nieder- und Querschläge eines Jumbobankrotts nicht voraussehbar sind – geschweige denn kontrollierbar .', 'Solange zwischen den beiden Palästinenser-Gebilden latenter Bürgerkrieg herrscht , ist ein Zweistaaten-Model selbst in der Logik nicht auf der Agenda , geschweige denn in der Praxis .']	[]	[]	[]	1,0	1,0	1,0	1,0
10	"Die ""Negation:NEG_XgeschweigedennY-Konstruktion"" korreliert zwei Propositionen, die jeweils einen Punkt auf einem pragmatisch definiertem Maßstab markieren. Die erste Proposition ist pragmatisch stärker als die zweite Proposition; so zieht, pragmatisch betrachtet, die Wahrheit der ersten Proposition automatisch die Wahrheit der zweiten Proposition nach sich. Einfacher ausgedrückt: Ist die erste Proposition wahr, so muss die zweite Proposition ebenfalls wahr sein. Die erste Proposition ist darüber hinaus auch informativer als die zweite Proposition, da die erstgenannte pragmatisch betrachtet die letztgenannte einschließt, während diese wiederum die diskursrelevantere der beiden Propositionen ist. Die Konstruktion umfasst das konstruktionsevozierende Element (KEE) ""geschweige_denn"", die internen Kern-Konstruktionselemente (Kern-KE) ""Erstes_Konjunkt"" und ""Zweites_Konjunkt"" sowie die externen Kern-KE ""Negator"" und ""Fokuskontext"". Das ""Erste_Konjunkt"" geht dem ""KEE"" voraus, auf welches das ""Zweite_Konjunkt"" folgt. Der informationsstrukturelle Fokus liegt auf dem ""Ersten_Konjunkt"", das die Basis für den entstehenden Kontrast zwischen den zwei Propositionen bildet. Das ""Erste_Konjunkt"" und das ""Zweite_Konjunkt"" bilden jeweils einen Teil der beiden Propositionen ab, wobei das ""Erste_Konjunkt"" meist zusätzlih vom ""Negator"" negiert wird. Der ""Fokuskontext"" indiziert in der Regel den Rest der Proposition. Werden beide Konjunkte im Wechsel mit dem ""Fokuskontext"" kombiniert, können die einander gegenübergestellten Propositionen vollständig wiederhergestellt (oder: vervollständigt) werden. Im Gegensatz zum ""Ersten_Konjunkt"" und ""Zweiten_Konjunkt"" muss der ""Fokuskontext"" nicht zwangsläufig realisiert werden – wird der ""Fokuskontext"" nicht realisiert, drücken die beiden Konjunkte jeweils vollständige Propositionen aus. "" Die zwei gegenübergestellten Propositionen sind hier die beiden Aussagen, dass die meisten von ihnen zuvor noch nie einen Computer a) gesehen und b) bedient haben. Die Verwendung der ""Negation:NEG_XgeschweigedennY-Konstruktion"" erfordert die Einstufung von Sehen und Bedienen auf einer 'pragmatischen Skala', was dazu führt, dass die Aussage Die meisten von ihnen haben zuvor noch nie einen Computer bedient als 'größere' Behauptung betrachtet werden muss als Die meisten von ihnen haben zuvor noch nie einen Computer gesehen. Mit anderen Worten: Wenn die meisten von ihnen einen Computer zuvor noch nie gesehen haben, dann haben sie ihn ganz sicher auch nicht bedient bzw. wenn sie einen Computer noch nie gesehen haben, können sie diesen auch nicht bedient haben. Proposition a) schließt Proposition b) somit aus. Unter dem Aspekt der Negation wird die erste Proposition Die meisten von ihnen haben zuvor noch nie einen Computer gesehen damit zur stärkeren der beiden kontrastierten Propositionen."	['Noch nie wurde gewagt , das Kommende , das Unklare zu planen , da man noch nicht einmal weiß , geschweige denn versteht , was ist .', 'Noch aber hat keiner der Bundesstaaten eine solche Regelung eingeführt – geschweige denn , dass es ein entsprechendes Bundesgesetz gibt .', 'Geschweige denn , dass sie die Argumentation einfach kippten .']	['Noch nie wurde gewagt , das Kommende , das Unklare zu planen , da man noch nicht einmal weiß , geschweige denn versteht , was ist .']	['Noch aber hat keiner der Bundesstaaten eine solche Regelung eingeführt – geschweige denn , dass es ein entsprechendes Bundesgesetz gibt .', 'Geschweige denn , dass sie die Argumentation einfach kippten .']	['Noch nie wurde gewagt , das Kommende , das Unklare zu planen , da man noch nicht einmal weiß , geschweige denn versteht , was ist .']	[]	['Noch aber hat keiner der Bundesstaaten eine solche Regelung eingeführt – geschweige denn , dass es ein entsprechendes Bundesgesetz gibt .', 'Geschweige denn , dass sie die Argumentation einfach kippten .']	[]	1,0	0,3333333333333333	0,5	0,3333333333333333
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Nicht alle Probleme sind gleich gefährlich .', 'Alle Erben bekamen gleich große Anteile am Unternehmen .', 'Beide Teams waren lange gleich gut .']	['Nicht alle Probleme sind gleich gefährlich .']	['Alle Erben bekamen gleich große Anteile am Unternehmen .', 'Beide Teams waren lange gleich gut .']	['Nicht alle Probleme sind gleich gefährlich .']	[]	['Alle Erben bekamen gleich große Anteile am Unternehmen .', 'Beide Teams waren lange gleich gut .']	[]	1,0	0,3333333333333333	0,5	0,3333333333333333
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Durch sein Gedankenexperiment kam Einstein zu dem Schluss , dass schwere und träge Masse gleich groß sind .', 'Nicht alle Probleme sind gleich gefährlich .', 'Bis auf wenige Millimeter sind die Geräte praktisch gleich groß .']	['Durch sein Gedankenexperiment kam Einstein zu dem Schluss , dass schwere und träge Masse gleich groß sind .']	['Nicht alle Probleme sind gleich gefährlich .', 'Bis auf wenige Millimeter sind die Geräte praktisch gleich groß .']	['Durch sein Gedankenexperiment kam Einstein zu dem Schluss , dass schwere und träge Masse gleich groß sind .']	[]	['Nicht alle Probleme sind gleich gefährlich .', 'Bis auf wenige Millimeter sind die Geräte praktisch gleich groß .']	[]	1,0	0,3333333333333333	0,5	0,3333333333333333
100	"Die ""Äquativ_Plural-Konstruktion"" gehört zu den Vergleichskonstruktionen und zeigt die Gleichheit zweier Entitäten an, die hinsichtlich eines bestimmten Wertes eines spezifischen Attributs auf einer Skala miteinander verglichen werden. Der Vergleichsausdruck besteht aus dem konstruktionsevozierenden Element (KEE) ""gleich"", das angibt, um welche Art des Vergleichs es sich handelt (hier: Gleichheit und nicht Ungleichheit), und den beiden Kern-Konstruktionselementen (KE) ""Verglichene_Entitäten"" und ""Dimension"". Dabei umfasst das KE ""Verglichene_Entitäten"" diejenigen Einheiten, die hinsichtlich eines bestimmten Wertes einer durch die Vergleichskategorie definierten Skala gleichgesetzt werden. Die Skala wird dabei durch die ""Dimension"" angezeigt (X und Y sind gleich groß vergleicht zum Beispiel X und Y auf einer Skala in Bezug auf 'Größe'). Die ""Dimension"" gibt also genauer an, in welcher Hinsicht sich die Einheiten (""Verglichene_Entitäten"") gleichen."	['Nicht alle Probleme sind gleich gefährlich .', 'Sie waren in Leipzig lange Zeit höchstens gleich gut .', 'FDP und Grüne sind in den Umfragen mit 8 bis 10 Prozent ebenfalls annähernd gleich stark .']	['Nicht alle Probleme sind gleich gefährlich .']	['Sie waren in Leipzig lange Zeit höchstens gleich gut .', 'FDP und Grüne sind in den Umfragen mit 8 bis 10 Prozent ebenfalls annähernd gleich stark .']	['Nicht alle Probleme sind gleich gefährlich .']	[]	['Sie waren in Leipzig lange Zeit höchstens gleich gut .', 'FDP und Grüne sind in den Umfragen mit 8 bis 10 Prozent ebenfalls annähernd gleich stark .']	[]	1,0	0,3333333333333333	0,5	0,3333333333333333
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	"['Gut , besser , "" "" Les Bleus "" "" :', 'Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .', 'Gut , besser , FC Bayern München :']"	"['Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .', 'Gut , besser , "" "" Les Bleus "" "" :']"	['Gut , besser , FC Bayern München :']	"['Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .', 'Gut , besser , "" "" Les Bleus "" "" :']"	[]	['Gut , besser , FC Bayern München :']	[]	1,0	0,6666666666666666	0,8	0,6666666666666666
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	"['Hamburg . Gut , besser , Fortuna : Im Stile eines Erstligisten haben die "" Unbezwingbaren "" aus Düsseldorf auch den Fußball-Tempel auf St. Pauli erobert und ihren Traum von der Rückkehr in Liga eins genährt . "" Die Euphorie ist groß , weil wir lange kein Spiel verloren haben "" , erklärte Maximilian Beister nach dem meisterlichen Auftritt beim 3:1 ( 1:1)-Erfolg bei Verfolger FC St. Pauli .', 'Hoch , höher , Tokio', 'Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .']"	"['Hoch , höher , Tokio', 'Hamburg . Gut , besser , Fortuna : Im Stile eines Erstligisten haben die "" Unbezwingbaren "" aus Düsseldorf auch den Fußball-Tempel auf St. Pauli erobert und ihren Traum von der Rückkehr in Liga eins genährt . "" Die Euphorie ist groß , weil wir lange kein Spiel verloren haben "" , erklärte Maximilian Beister nach dem meisterlichen Auftritt beim 3:1 ( 1:1)-Erfolg bei Verfolger FC St. Pauli .', 'Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .']"	[]	"['Hoch , höher , Tokio', 'Hamburg . Gut , besser , Fortuna : Im Stile eines Erstligisten haben die "" Unbezwingbaren "" aus Düsseldorf auch den Fußball-Tempel auf St. Pauli erobert und ihren Traum von der Rückkehr in Liga eins genährt . "" Die Euphorie ist groß , weil wir lange kein Spiel verloren haben "" , erklärte Maximilian Beister nach dem meisterlichen Auftritt beim 3:1 ( 1:1)-Erfolg bei Verfolger FC St. Pauli .', 'Gut , besser , Santner ! Egal ob als Ballverteiler im zentralen Mittelfeld oder als lautstarker Antreiber : Der Neuzugang aus Simmering war vom ersten Spiel an das unumstrittene neue "" Alphatier "" der ASC-Elf . Immer wieder hatte er mit seinen Pässen und Ideen entscheidenden Anteil an Götzendorfer Siegen . Fazit : Kaum ein anderer Spieler der Liga hätte sich den Titel "" Spieler der Saison "" mehr verdient als der ehemalige Simmeringer Kapitän .']"	[]	[]	[]	1,0	1,0	1,0	1,0
1004	"Die ""Superlativ_Klimax:ADJ1_ADJ1-er_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt primär durch die Wiederholung der in höchstem Maße zutreffenden Eigenschaft; zunächst im Positiv und dann im Komparativ. Anstelle einer Superlativform steht zuletzt die polar eingeordnete Entität. Die Zuweisung erfolgt auch durch den Vergleich der Entität mit einer immer impliziten Gesamtheit. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Das konstruktionsevozierende Element (KEE) ""-er"" bildet gemeinsam mit der wiederholten ""Dimension"" den Komparativ; durch die Struktur der Konstruktion, die der klassischen dreiteiligen Steigerungsform von Verben (X, X-er, am X-sten) nachempfunden ist, wird die superlative Bedeutung, die das dritte Verb innehat, auf das ""Verglichene"" übertragen, das an seiner Stelle steht. Neben den internen Kern-Konstruktionselementen (Kern-KE) ""Dimension"" und ""Verglichenes"" besteht die Konstruktion aus einer immer nullinstantiierten weil nie ausgedrückten ""Vergleichsmenge"", auf die implizit verwiesen wird. "" Groß, größer, RTL lässt sich paraphrasieren mit RTL ist am größten [von allen]."	['12.02. 2003 Groß , größer , Größenwahn Europa darf gegenüber den USA auch mal „ nein sagen .', 'Gross , grösser , Glastonbury', 'Hoch , höher , Tokio']	['Gross , grösser , Glastonbury', '12.02. 2003 Groß , größer , Größenwahn Europa darf gegenüber den USA auch mal „ nein sagen .', 'Hoch , höher , Tokio']	[]	['Gross , grösser , Glastonbury', '12.02. 2003 Groß , größer , Größenwahn Europa darf gegenüber den USA auch mal „ nein sagen .', 'Hoch , höher , Tokio']	[]	[]	[]	1,0	1,0	1,0	1,0
1006	"Die ""Superlativ:PRÄP_ADJ-ster_NP-Konstruktion"" gehört zu der Familie der Vergleichskonstruktionen und weist einem Wert die höchste Stufe auf einer Skala zu. Die Zuweisung erfolgt durch den Vergleich einer Entität mit einer impliziten Gesamtheit. Die ""Präposition"" steht stets vor der meist als Adjektiv realisierten ""Dimension"", an die das konstruktionsevozierende Element (KEE) ""(e)st"" angehangen wird. Die ""Dimension"" benennt die Skala des Vergleichs, d.h. die Skala, auf der einem Wert die höchste Stufe zugewiesen wird. Neben der ""Präposition"", dem ""KEE"" und der ""Dimension"" besteht die Konstruktion aus zwei weiteren Kern-Konstruktionselementen (Kern-KE): dem ""Verglichenen"" (die Entität, der eine durch die ""Dimension"" ausgedrückte Eigenschaft in vollem Ausmaß zugewiesen wird) und der ""Vergleichsmenge"" (die stets implizite Menge an Entitäten, die über die selbe Eigenschaft in geringerem Ausmaß verfügen)."	['Maximilian Philipp hatte vor der Saison keiner auf der Rechnung , am Samstag traf der Ex-Freiburger zweimal nach bester Stürmerart .', 'Der Anschlag in Talokan hatte die Diskussion über das Konzept des «Partnerings» - die Ausbildung afghanischer Sicherheitskräfte in engster Zusammenarbeit und auch an der Front - wieder angeheizt .', 'Dass eine Abstimmung nun erneut in größter Eile erfolgen müsste , macht die Sache nicht besser .']	['Maximilian Philipp hatte vor der Saison keiner auf der Rechnung , am Samstag traf der Ex-Freiburger zweimal nach bester Stürmerart .']	['Der Anschlag in Talokan hatte die Diskussion über das Konzept des «Partnerings» - die Ausbildung afghanischer Sicherheitskräfte in engster Zusammenarbeit und auch an der Front - wieder angeheizt .', 'Dass eine Abstimmung nun erneut in größter Eile erfolgen müsste , macht die Sache nicht besser .']	['Maximilian Philipp hatte vor der Saison keiner auf der Rechnung , am Samstag traf der Ex-Freiburger zweimal nach bester Stürmerart .']	[]	['Der Anschlag in Talokan hatte die Diskussion über das Konzept des «Partnerings» - die Ausbildung afghanischer Sicherheitskräfte in engster Zusammenarbeit und auch an der Front - wieder angeheizt .', 'Dass eine Abstimmung nun erneut in größter Eile erfolgen müsste , macht die Sache nicht besser .']	[]	1,0	0,3333333333333333	0,5	0,3333333333333333
